# This File is the Output of Schemes_FV.C
# 
0.0025 1  1
0.0075 1  1
0.0125 1  1
0.0175 1  1
0.0225 1  1
0.0275 1  1
0.0325 1  1
0.0375 1  1
0.0425 1  1
0.0475 1  1
0.0525 1  1
0.0575 1  1
0.0625 1  1
0.0675 1  1
0.0725 1  1
0.0775 1  1
0.0825 1  1
0.0875 1  1
0.0925 1  1
0.0975 1  1
0.1025 1  1
0.1075 1  1
0.1125 1  1
0.1175 0.999999  1
0.1225 0.999998  1
0.1275 0.999996  1
0.1325 0.99999  1
0.1375 0.999977  1
0.1425 0.999949  1
0.1475 0.999894  1
0.1525 0.999789  1
0.1575 0.999595  1
0.1625 0.999255  1
0.1675 0.998687  1
0.1725 0.997782  1
0.1775 0.996408  1
0.1825 0.994416  1
0.1875 0.991662  1
0.1925 0.988012  1
0.1975 0.983371  1
0.2025 0.977682  1
0.2075 0.970936  1
0.2125 0.963164  1
0.2175 0.954433  0.985495
0.2225 0.944831  0.968214
0.2275 0.934458  0.951177
0.2325 0.92342  0.934381
0.2375 0.911819  0.917823
0.2425 0.899749  0.9015
0.2475 0.887298  0.885411
0.2525 0.874543  0.869552
0.2575 0.861548  0.853921
0.2625 0.84837  0.838515
0.2675 0.835054  0.823333
0.2725 0.821637  0.808372
0.2775 0.808143  0.793628
0.2825 0.794582  0.779101
0.2875 0.780938  0.764787
0.2925 0.767151  0.750685
0.2975 0.753031  0.736791
0.3025 0.737898  0.723104
0.3075 0.716189  0.70962
0.3125 0.698106  0.696339
0.3175 0.68402  0.683257
0.3225 0.671376  0.670373
0.3275 0.659669  0.657684
0.3325 0.648725  0.645188
0.3375 0.638484  0.632882
0.3425 0.628942  0.620765
0.3475 0.620131  0.608834
0.3525 0.6121  0.597087
0.3575 0.604915  0.585523
0.3625 0.59864  0.579867
0.3675 0.593325  0.579867
0.3725 0.588992  0.579867
0.3775 0.585619  0.579867
0.3825 0.583133  0.579867
0.3875 0.581414  0.579867
0.3925 0.580307  0.579867
0.3975 0.579653  0.579867
0.4025 0.579303  0.579867
0.4075 0.57914  0.579867
0.4125 0.57908  0.579867
0.4175 0.57907  0.579867
0.4225 0.57908  0.579867
0.4275 0.579094  0.579867
0.4325 0.579105  0.579867
0.4375 0.579111  0.579867
0.4425 0.579111  0.579867
0.4475 0.579105  0.579867
0.4525 0.579092  0.579867
0.4575 0.579071  0.579867
0.4625 0.579042  0.579867
0.4675 0.578999  0.579867
0.4725 0.578938  0.579867
0.4775 0.578846  0.579867
0.4825 0.578706  0.579867
0.4875 0.57849  0.579867
0.4925 0.578155  0.579867
0.4975 0.577635  0.579867
0.5025 0.57684  0.579867
0.5075 0.575651  0.579867
0.5125 0.573912  0.579867
0.5175 0.571436  0.579867
0.5225 0.568007  0.579867
0.5275 0.563397  0.579867
0.5325 0.557382  0.579867
0.5375 0.549771  0.579867
0.5425 0.540431  0.579867
0.5475 0.529317  0.579867
0.5525 0.516493  0.579867
0.5575 0.502146  0.579867
0.5625 0.486583  0.579867
0.5675 0.47021  0.579867
0.5725 0.453507  0.3397
0.5775 0.436982  0.3397
0.5825 0.421123  0.3397
0.5875 0.406364  0.3397
0.5925 0.393039  0.3397
0.5975 0.381371  0.3397
0.6025 0.371462  0.3397
0.6075 0.3633  0.3397
0.6125 0.35678  0.3397
0.6175 0.35173  0.3397
0.6225 0.347939  0.3397
0.6275 0.34518  0.3397
0.6325 0.343235  0.3397
0.6375 0.341908  0.3397
0.6425 0.341031  0.3397
0.6475 0.340471  0.3397
0.6525 0.340126  0.3397
0.6575 0.339922  0.3397
0.6625 0.339805  0.3397
0.6675 0.339742  0.3397
0.6725 0.339709  0.3397
0.6775 0.339693  0.3397
0.6825 0.339687  0.3397
0.6875 0.339684  0.3397
0.6925 0.339683  0.3397
0.6975 0.339682  0.3397
0.7025 0.339674  0.3397
0.7075 0.33963  0.3397
0.7125 0.339393  0.3397
0.7175 0.338138  0.3397
0.7225 0.331726  0.3397
0.7275 0.303746  0.3397
0.7325 0.228611  0.125
0.7375 0.150477  0.125
0.7425 0.12734  0.125
0.7475 0.125146  0.125
0.7525 0.125009  0.125
0.7575 0.125001  0.125
0.7625 0.125  0.125
0.7675 0.125  0.125
0.7725 0.125  0.125
0.7775 0.125  0.125
0.7825 0.125  0.125
0.7875 0.125  0.125
0.7925 0.125  0.125
0.7975 0.125  0.125
0.8025 0.125  0.125
0.8075 0.125  0.125
0.8125 0.125  0.125
0.8175 0.125  0.125
0.8225 0.125  0.125
0.8275 0.125  0.125
0.8325 0.125  0.125
0.8375 0.125  0.125
0.8425 0.125  0.125
0.8475 0.125  0.125
0.8525 0.125  0.125
0.8575 0.125  0.125
0.8625 0.125  0.125
0.8675 0.125  0.125
0.8725 0.125  0.125
0.8775 0.125  0.125
0.8825 0.125  0.125
0.8875 0.125  0.125
0.8925 0.125  0.125
0.8975 0.125  0.125
0.9025 0.125  0.125
0.9075 0.125  0.125
0.9125 0.125  0.125
0.9175 0.125  0.125
0.9225 0.125  0.125
0.9275 0.125  0.125
0.9325 0.125  0.125
0.9375 0.125  0.125
0.9425 0.125  0.125
0.9475 0.125  0.125
0.9525 0.125  0.125
0.9575 0.125  0.125
0.9625 0.125  0.125
0.9675 0.125  0.125
0.9725 0.125  0.125
0.9775 0.125  0.125
0.9825 0.125  0.125
0.9875 0.125  0.125
0.9925 0.125  0.125
0.9975 0.125  0.125
